text,label
Omg it could snow here tonite!,0
"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832",1
Sorry sent blank msg again. Yup but trying 2 do some serious studying now.,0
RCT' THNQ Adrian for U text. Rgds Vatian,1
Customer place i will call you.,0
Saw Guys and Dolls last night with Patrick Swayze it was great,0
"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU",1
"ou are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18",1
T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,1
"Hmmm ... And imagine after you've come home from that having to rub my feet, make me dinner and help me get ready for my date ! Are you sure your ready for that kind of life ?",0
goldviking (29/M) is inviting you to be his friend. Reply YES-762 or NO-762 See him: www.SMS.ac/u/goldviking STOP? Send STOP FRND to 62468,1
You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99,1
No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u,0
"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",1
Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15,1
FROM 88066 LOST £12 HELP,1
"I get out of class in bsn in like  &lt;#&gt;  minutes, you know where advising is?",0
I sent your maga that money yesterday oh.,0
Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,1
How come u got nothing to do?,0
Cheers for the message Zogtorius. Ive been staring at my phone for an age deciding whether to text or not.,0
Come aftr  &lt;DECIMAL&gt; ..now i m cleaning the house,0
